timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,7.654030799865723,48.0,23.0,6.349999904632568,0.0,255.0,109.95,9.0
32768.0,15.45416522026062,116.0,26.0,6.349999904632568,0.0,464.0,216.9,12.0
49152.0,23.19715976715088,173.0,40.0,5.675000190734863,0.0,683.0,247.425,7.0
65536.0,30.90304470062256,217.0,40.0,6.474999904632568,0.0,1015.0,260.875,26.0
81920.0,38.65932512283325,263.0,41.0,10.25,0.0,988.0,332.65,13.0
98304.0,46.45433282852173,322.0,40.0,7.724999904632568,0.0,931.0,260.6,19.0
114688.0,54.19777727127075,375.0,41.0,8.625,0.0,841.0,277.575,39.0
131072.0,61.94955015182495,423.0,41.0,10.649999618530273,0.0,1069.0,323.95,30.0
147456.0,69.72971510887146,494.0,40.0,8.824999809265137,0.0,1194.0,297.225,16.0
163840.0,77.44615268707275,546.0,40.0,6.175000190734863,0.0,987.0,279.7,50.0
180224.0,85.25794315338135,604.0,41.0,9.399999618530273,0.0,889.0,298.125,15.0
196608.0,93.02733945846558,652.0,40.0,6.75,0.0,746.0,259.925,14.0
212992.0,100.85114049911499,713.0,40.0,6.775000095367432,0.0,1251.0,276.0,4.0
229376.0,108.6271755695343,766.0,40.0,10.0,0.0,912.0,308.25,33.0
245760.0,116.42973470687866,822.0,41.0,7.574999809265137,0.0,814.0,308.8,34.0
262144.0,124.19634175300598,865.0,40.0,8.149999618530273,0.0,917.0,322.6,45.0
278528.0,132.0057692527771,908.0,40.0,9.675000190734863,0.0,991.0,308.875,28.0
294912.0,139.73907780647278,944.0,40.0,14.875,0.0,1102.0,478.425,38.0
311296.0,147.544020652771,978.0,40.0,10.800000190734863,0.0,1036.0,385.55,40.0
327680.0,155.30795764923096,1023.0,41.0,14.399999618530273,0.0,958.0,401.975,35.0
344064.0,163.10324501991272,1063.0,41.0,13.175000190734863,0.0,1055.0,396.0,20.0
360448.0,170.85263323783875,1101.0,41.0,13.350000381469727,0.0,1163.0,435.1,25.0
376832.0,178.65320754051208,1144.0,40.0,10.850000381469727,0.0,1238.0,352.175,9.0
393216.0,186.44274234771729,1182.0,40.0,10.625,0.0,1167.0,377.675,38.0
409600.0,194.23489928245544,1221.0,40.0,14.0,0.0,1095.0,398.125,10.0
425984.0,202.03097772598267,1270.0,40.0,15.524999618530273,0.0,1140.0,441.525,8.0
442368.0,209.63396334648132,1308.0,40.0,12.175000190734863,0.0,1362.0,399.775,4.0
458752.0,217.20496273040771,1352.0,40.0,12.550000190734863,0.0,1004.0,406.85,14.0
475136.0,224.95853519439697,1391.0,40.0,11.850000381469727,0.0,1132.0,367.575,46.0
491520.0,232.6705241203308,1433.0,40.0,14.0,0.0,1052.0,410.825,16.0
507904.0,240.40982675552368,1480.0,40.0,11.449999809265137,0.0,1163.0,341.15,18.0
